kp,force_N,defl_l2_rad,q_delta_from_contact_rad,q_delta_from_home_rad,q0,q1,q2,q3,q4,q5,q6,q7,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7
3.0,0.5949966679438768,0.040568748696138884,0.017847747687429947,0.12432978448526391,-0.09283646066806014,-1.5557381403823567,0.06729618484247624,0.7998639754605078,-0.19775548605889615,0.3688415366338163,0.8638966071769613,0.4631965500942229,-0.08984220766780994,-1.576492754510472,0.06698637181287097,0.800199040270967,-0.17246258371987871,0.3863568266778482,0.8786618221299096,0.4696283222395237
3.0,0.9955326358076482,0.04662041543297821,0.01935672679099023,0.1253530974033343,-0.09300586717845205,-1.5554453152131764,0.068617178526265,0.7999486956457521,-0.19758879094937895,0.36947601009913833,0.8635902182563764,0.46258767706373805,-0.0902686537037782,-1.5753671347466935,0.07276188129079195,0.802303358662123,-0.17250347597676846,0.39472462616389725,0.8837116461137275,0.4712324098881407
3.0,1.4664125168491366,0.05429155187277958,0.02001254798099354,0.12583598494551432,-0.09320241915450031,-1.555130128683263,0.06903203551349023,0.7995695612012974,-0.1973027701209643,0.3701914472681671,0.8632858123461634,0.4619820171747047,-0.09069509973974646,-1.5742415149829148,0.07853739076871293,0.8044076770532791,-0.1725443682336582,0.40309242564994635,0.8887614700975455,0.47283649753675766
3.0,2.0735626815795,0.06701691980604371,0.023152003524478888,0.1278475399055632,-0.09523014516218609,-1.5508573054671135,0.06988396639361324,0.7985719326052387,-0.1958757435027581,0.3719776350478533,0.862176328687658,0.4602887821435661,-0.09126369445437081,-1.5727406886312096,0.08623807007260756,0.8072134349081539,-0.17259889124284453,0.41424949163134517,0.895494568742636,0.47497528106824694
3.0,2.5429845507133924,0.07655390797669583,0.024013635680747727,0.12837643397335213,-0.09547489640093319,-1.550494278511557,0.07029359440027809,0.7981901634981149,-0.19560916340330786,0.3726716564953131,0.8618612538657003,0.45966891067585763,-0.09169014049033908,-1.571615068867431,0.09201357955052855,0.80931775329931,-0.17263978349973427,0.4226172911173942,0.9005443927264538,0.4765793687168639
3.0,2.987049562847843,0.08660748282338834,0.024602319766964784,0.12874650878146307,-0.09561958640801999,-1.5502939268790903,0.07060510135012342,0.797899889446247,-0.19551921926244437,0.37312686856694877,0.8616603576589307,0.459221640568107,-0.09211658652630735,-1.5704894491036523,0.09778908902844952,0.8114220716904661,-0.17268067575662402,0.4309850906034433,0.9055942167102717,0.4781834563654809
3.0,3.596310111065899,0.10032925475628861,0.026191745969923196,0.1295027316037629,-0.0960424798362125,-1.5497386132005093,0.0712156156769085,0.7971835527074226,-0.19476253502201393,0.3743393826356818,0.8609434408536981,0.45804718953472284,-0.0926851812409317,-1.5689886227519474,0.10548976833234416,0.8142278295453408,-0.17273519876581034,0.4421421565848421,0.9123273153553623,0.4803222398969702
3.0,4.06375581968177,0.11550340948383493,0.02939164701579286,0.1316160628530874,-0.09895712120423689,-1.5439725778757543,0.07201081241825906,0.7964205553773054,-0.1939072008218574,0.3726905943674288,0.863380458513342,0.4581520085818761,-0.09325377595555605,-1.5674877964002423,0.11319044763623881,0.8170335874002156,-0.17278972177499669,0.4532992225662409,0.9190604140004528,0.4824610234284595
3.0,4.519264887484834,0.13829228558726392,0.029444028470083223,0.1309128138926828,-0.0992203982354822,-1.5440672269051448,0.07284067452356628,0.7954142266649694,-0.19394247176325352,0.3651148640597701,0.8723825075158027,0.4608939276067962,-0.09410666802749257,-1.565236556872685,0.12474146659208077,0.8212422241825278,-0.17287150628877615,0.47003482153833903,0.9291600619680886,0.4856691987256934
3.0,4.9579144784585365,0.1629884523374349,0.035965194749377025,0.1322153391976159,-0.10045402273480655,-1.5422539922350305,0.07374254190934845,0.794362586840224,-0.19398999632121852,0.3566686663100572,0.8823390455247637,0.46403163121729035,-0.09495956009942909,-1.5629853173451274,0.13629248554792273,0.8254508609648399,-0.17295329080255564,0.48677042051043723,0.9392597099357244,0.4888773740229274
3.0,6.047008080670986,1.1050597718767925,0.4218504669885893,0.43702749232250787,-0.144755840060056,-1.4518091247503957,0.011717639146500463,0.9381759446433714,-0.19616500080732455,0.12577936941666426,1.133159739445518,0.5735523747688022,-0.12509507997451969,-1.4834415207047638,0.5444284886543387,0.974156027273203,-0.17584301028943103,1.0780949175245726,1.2961139381255227,0.6022329011918601
3.0,6.972618792806568,1.3890347194977937,0.6084349863330679,0.6152420644098726,-0.15177576583702054,-1.4416601994469613,-0.0006458422093060047,0.9683118451448989,-0.19608279408457568,-0.00047405958405511616,1.274024886091259,0.6004420953902433,-0.13248681126463624,-1.4639307781325992,0.644537319604969,1.010630879386575,-0.1765518094088533,1.2231367752827567,1.3836442205116997,0.6300370871012211
3.0,7.92827573633344,1.488685625642514,0.6152207210059822,0.6230207192370376,-0.16419156423002174,-1.4259179297198623,-0.0013039079599296872,0.9777606181314876,-0.19646390176939643,-0.0004782561078195073,1.267902700473151,0.6152082655931504,-0.13646697426700669,-1.4534249936706645,0.6984420747322314,1.0302711843706984,-0.1769334704731576,1.301236237152548,1.4307759110273333,0.6450085718216461
3.0,8.938334086150618,1.589640403456719,0.620831560557121,0.6292105839561776,-0.17357301274786846,-1.416920951788213,-0.002156786474438094,0.9860707787932738,-0.19678757906430724,-0.00048683854152512006,1.262001892590269,0.6295276451317972,-0.14044713726937713,-1.4429192092087295,0.7523468298594939,1.0499114893548218,-0.1773151315374619,1.3793356990223395,1.477907601542967,0.6599800565420711
6.0,0.5014926810191483,0.01929698611286188,0.009463120216726167,0.11501757419176085,-0.09067974263447905,-1.5677095355568078,0.05956735292358008,0.7973483702341844,-0.18526495288442563,0.36794867879006965,0.8656654462434892,0.4647606144068768,-0.08927361295318559,-1.5779935808621772,0.05928569250897633,0.7973932824160922,-0.17240806071069237,0.3751997606964494,0.8719287234848191,0.4674895387080344
6.0,0.9755488549121428,0.025256539483370564,0.015228343759800088,0.11885203807973013,-0.09105631909941907,-1.5667797303781785,0.06493769369116052,0.7992879277577845,-0.18502849464094404,0.36886499072497736,0.8653717479205922,0.46408428349320024,-0.08970005898915386,-1.5768679610983984,0.0650612019868973,0.7994976008072483,-0.17244895296758211,0.3835675601824985,0.876978547468637,0.46909362635665136
6.0,1.4857759000494586,0.03154914398207962,0.018972860046221913,0.12136793226798397,-0.09144115956519415,-1.5658526857582407,0.06824037202900185,0.8002569751290367,-0.184421611098449,0.36976744277126816,0.8649369531011998,0.4633518746857277,-0.09005543068579407,-1.5759299446285828,0.06987412655183145,0.801251199466545,-0.1724830298483236,0.39054072642087273,0.8811867341218186,0.4704303660638322
6.0,1.944243321185906,0.035779606053237954,0.019352636232279938,0.121706288279204,-0.0914712770904986,-1.5657912675674495,0.06853189091833642,0.8001008436196193,-0.1842997872471319,0.370182538670692,0.8648372845944863,0.4630724930903964,-0.0902686537037782,-1.5753671347466935,0.07276188129079195,0.802303358662123,-0.17250347597676846,0.39472462616389725,0.8837116461137275,0.4712324098881407
6.0,2.558127404775755,0.04199898904057912,0.020256125974042496,0.12236262757910527,-0.0917716179403026,-1.565089634905562,0.06904283520914825,0.7996804382946611,-0.18388510114302878,0.3710555147492568,0.8644078247761364,0.46230830839561016,-0.09055295106109038,-1.5746167215708409,0.07661222094273927,0.8037062375895604,-0.1725307374813616,0.4003031591545967,0.8870781954362728,0.47230180165388536
